UKPRN_FoR	UKPRN	FoR	Mean4	Mean3	Mean2	Mean1	GPA
10000291_15	10000291	15	0.0	70.0	30.0	0.0	2.70
10000291_16	10000291	16	0.0	0.0	50.0	50.0	1.50
10000291_17	10000291	17	23.3	36.7	40.0	0.0	2.83
10000291_19	10000291	19	10.0	70.0	20.0	0.0	2.90
10000291_20	10000291	20	0.0	40.0	50.0	10.0	2.30
10000291_22	10000291	22	0.0	0.0	80.0	20.0	1.80
10000291_25	10000291	25	0.0	0.0	50.0	50.0	1.50
10000291_29	10000291	29	0.0	46.7	40.0	13.3	2.33
10000291_3	10000291	3	20.0	80.0	0.0	0.0	3.20
10000291_30	10000291	30	0.0	0.0	40.0	20.0	1.00
10000291_34	10000291	34	0.0	70.0	30.0	0.0	2.70
10000291_35	10000291	35	40.0	60.0	0.0	0.0	3.40
10000291_36	10000291	36	0.0	40.0	60.0	0.0	2.40
10000291_4	10000291	4	0.0	0.0	20.0	80.0	1.20
10000291_5	10000291	5	0.0	10.0	70.0	20.0	1.90
10000385_34	10000385	34	0.0	40.0	40.0	20.0	2.20
10000571_25	10000571	25	0.0	40.0	60.0	0.0	2.40
10000571_29	10000571	29	0.0	73.3	26.7	0.0	2.73
10000571_30	10000571	30	0.0	70.0	30.0	0.0	2.70
10000571_34	10000571	34	0.0	30.0	70.0	0.0	2.30
10000571_35	10000571	35	60.0	40.0	0.0	0.0	3.60
10000571_36	10000571	36	0.0	80.0	20.0	0.0	2.80
10000824_15	10000824	15	0.0	73.3	26.7	0.0	2.73
10000824_17	10000824	17	10.0	40.0	50.0	0.0	2.60
10000824_19	10000824	19	63.3	36.7	0.0	0.0	3.63
10000824_26	10000824	26	40.0	40.0	20.0	0.0	3.20
10000824_3	10000824	3	0.0	63.3	36.7	0.0	2.63
10000824_34	10000824	34	60.0	40.0	0.0	0.0	3.60
10000824_36	10000824	36	63.3	23.4	13.3	0.0	3.50
10000824_4	10000824	4	0.0	20.0	40.0	40.0	1.80
10000886_11	10000886	11	20.0	80.0	0.0	0.0	3.20
10000886_12	10000886	12	0.0	50.0	50.0	0.0	2.50
10000886_19	10000886	19	73.3	26.7	0.0	0.0	3.73
10000886_22	10000886	22	40.0	40.0	10.0	10.0	3.10
10000886_25	10000886	25	0.0	50.0	50.0	0.0	2.50
10000886_26	10000886	26	26.7	73.3	0.0	0.0	3.27
10000886_3	10000886	3	80.0	20.0	0.0	0.0	3.80
10000886_34	10000886	34	54.3	45.7	0.0	0.0	3.54
10000886_36	10000886	36	60.0	30.0	10.0	0.0	3.50
10000886_7	10000886	7	20.0	60.0	20.0	0.0	3.00
10000961_10	10000961	10	26.7	33.3	13.3	26.7	2.60
10000961_11	10000961	11	10.0	40.0	20.0	30.0	2.30
10000961_12	10000961	12	0.0	71.4	28.6	0.0	2.71
10000961_15	10000961	15	11.4	65.7	11.5	0.0	2.66
10000961_18	10000961	18	0.0	40.0	40.0	20.0	2.20
10000961_19	10000961	19	5.7	54.3	34.3	5.7	2.60
10000961_2	10000961	2	60.0	40.0	0.0	0.0	3.60
10000961_20	10000961	20	0.0	30.0	60.0	10.0	2.20
10000961_21	10000961	21	26.7	73.3	0.0	0.0	3.27
10000961_22	10000961	22	46.7	13.3	40.0	0.0	3.07
10000961_23	10000961	23	0.0	80.0	20.0	0.0	2.80
10000961_24	10000961	24	40.0	0.0	20.0	40.0	2.40
10000961_25	10000961	25	0.0	90.0	10.0	0.0	2.90
10000961_26	10000961	26	60.0	40.0	0.0	0.0	3.60
10000961_29	10000961	29	0.0	63.3	10.0	26.7	2.37
10000961_3	10000961	3	13.3	33.4	53.3	0.0	2.60
10000961_34	10000961	34	60.0	40.0	0.0	0.0	3.60
10000961_35	10000961	35	36.7	36.6	26.7	0.0	3.10
10000961_36	10000961	36	0.0	26.7	46.6	26.7	2.00
10000961_4	10000961	4	73.3	0.0	26.7	0.0	3.47
10000961_7	10000961	7	66.7	33.3	0.0	0.0	3.67
10000975_19	10000975	19	0.0	0.0	0.0	0.0	0.00
10000975_26	10000975	26	0.0	10.0	50.0	0.0	1.30
10000975_3	10000975	3	0.0	20.0	80.0	0.0	2.20
10000975_34	10000975	34	20.0	60.0	20.0	0.0	3.00
10001143_21	10001143	21	0.0	0.0	80.0	20.0	1.80
10001143_25	10001143	25	0.0	63.3	36.7	0.0	2.63
10001143_26	10001143	26	40.0	60.0	0.0	0.0	3.40
10001143_29	10001143	29	0.0	50.0	30.0	20.0	2.30
10001143_3	10001143	3	0.0	90.0	10.0	0.0	2.90
10001143_30	10001143	30	0.0	50.0	50.0	0.0	2.50
10001143_33	10001143	33	0.0	80.0	20.0	0.0	2.80
10001143_35	10001143	35	10.0	50.0	40.0	0.0	2.70
10001143_36	10001143	36	0.0	30.0	70.0	0.0	2.30
10001143_6	10001143	6	0.0	0.0	70.0	30.0	1.70
10001282_10	10001282	10	0.0	30.0	50.0	20.0	2.10
10001282_11	10001282	11	0.0	20.0	40.0	40.0	1.80
10001282_15	10001282	15	0.0	36.7	63.3	0.0	2.37
10001282_16	10001282	16	26.7	10.0	63.3	0.0	2.63
10001282_17	10001282	17	0.0	46.7	53.3	0.0	2.47
10001282_19	10001282	19	36.7	23.3	40.0	0.0	2.97
10001282_20	10001282	20	0.0	30.0	70.0	0.0	2.30
10001282_22	10001282	22	0.0	40.0	40.0	20.0	2.20
10001282_26	10001282	26	0.0	20.0	60.0	20.0	2.00
10001282_29	10001282	29	0.0	50.0	40.0	10.0	2.40
10001282_3	10001282	3	60.0	32.0	8.0	0.0	3.52
10001282_30	10001282	30	0.0	36.7	50.0	13.3	2.23
10001282_34	10001282	34	26.0	42.0	0.0	32.0	2.62
10001282_36	10001282	36	0.0	75.0	25.0	0.0	2.75
10001282_4	10001282	4	73.3	26.7	0.0	0.0	3.73
10001478_10	10001478	10	40.0	40.0	20.0	0.0	3.20
10001478_11	10001478	11	40.0	50.0	10.0	0.0	3.30
10001478_15	10001478	15	13.3	66.7	20.0	0.0	2.93
10001478_18	10001478	18	20.0	30.0	10.0	0.0	1.90
10001478_19	10001478	19	60.0	26.7	13.3	0.0	3.47
10001478_20	10001478	20	0.0	73.3	26.7	0.0	2.73
10001478_21	10001478	21	0.0	80.0	20.0	0.0	2.80
10001478_23	10001478	23	26.7	73.3	0.0	0.0	3.27
10001478_3	10001478	3	55.0	45.0	0.0	0.0	3.55
10001478_35	10001478	35	40.0	60.0	0.0	0.0	3.40
10001478_36	10001478	36	53.3	46.7	0.0	0.0	3.53
10001478_4	10001478	4	20.0	40.0	40.0	0.0	2.80
10001726_10	10001726	10	0.0	80.0	20.0	0.0	2.80
10001726_11	10001726	11	10.0	90.0	0.0	0.0	3.10
10001726_15	10001726	15	0.0	36.7	63.3	0.0	2.37
10001726_19	10001726	19	40.0	60.0	0.0	0.0	3.40
10001726_21	10001726	21	0.0	86.7	13.3	0.0	2.87
10001726_3	10001726	3	13.3	76.7	10.0	0.0	3.03
10001726_34	10001726	34	70.0	30.0	0.0	0.0	3.70
10001726_4	10001726	4	60.0	40.0	0.0	0.0	3.60
10001726_7	10001726	7	0.0	70.0	30.0	0.0	2.70
10001883_11	10001883	11	0.0	66.7	33.3	0.0	2.67
10001883_15	10001883	15	0.0	36.7	50.0	13.3	2.23
10001883_16	10001883	16	40.0	50.0	10.0	0.0	3.30
10001883_19	10001883	19	50.0	23.3	26.7	0.0	3.23
10001883_20	10001883	20	0.0	40.0	40.0	20.0	2.20
10001883_22	10001883	22	53.3	20.0	26.7	0.0	3.27
10001883_29	10001883	29	40.0	60.0	0.0	0.0	3.40
10001883_3	10001883	3	40.0	30.0	30.0	0.0	3.10
10001883_30	10001883	30	60.0	40.0	0.0	0.0	3.60
10001883_34	10001883	34	33.3	40.0	26.7	0.0	3.07
10001883_35	10001883	35	10.0	90.0	0.0	0.0	3.10
10001883_36	10001883	36	0.0	100.0	0.0	0.0	3.00
10002681_34	10002681	34	30.0	50.0	20.0	0.0	3.10
10002718_11	10002718	11	26.7	73.3	0.0	0.0	3.27
10002718_21	10002718	21	0.0	20.0	70.0	10.0	2.10
10002718_22	10002718	22	0.0	40.0	60.0	0.0	2.40
10002718_23	10002718	23	8.0	52.0	40.0	0.0	2.68
10002718_24	10002718	24	40.0	60.0	0.0	0.0	3.40
10002718_25	10002718	25	0.0	50.0	50.0	0.0	2.50
10002718_29	10002718	29	26.7	36.6	23.4	13.3	2.77
10002718_30	10002718	30	0.0	80.0	20.0	0.0	2.80
10002718_34	10002718	34	30.0	50.0	20.0	0.0	3.10
10002718_35	10002718	35	55.0	25.0	20.0	0.0	3.35
10002718_36	10002718	36	86.7	13.3	0.0	0.0	3.87
10002718_4	10002718	4	60.0	40.0	0.0	0.0	3.60
10003270_1	10003270	1	94.1	5.9	0.0	0.0	3.94
10003270_10	10003270	10	56.4	40.0	3.6	0.0	3.53
10003270_11	10003270	11	73.3	26.7	0.0	0.0	3.73
10003270_12	10003270	12	75.6	20.0	2.2	2.2	3.69
10003270_13	10003270	13	80.0	20.0	0.0	0.0	3.80
10003270_14	10003270	14	65.7	34.3	0.0	0.0	3.66
10003270_15	10003270	15	70.0	20.0	10.0	0.0	3.60
10003270_19	10003270	19	22.9	71.4	5.7	0.0	3.17
10003270_2	10003270	2	83.3	16.7	0.0	0.0	3.83
10003270_4	10003270	4	84.0	16.0	0.0	0.0	3.84
10003270_5	10003270	5	53.6	39.1	7.3	0.0	3.46
10003270_8	10003270	8	46.7	53.3	0.0	0.0	3.47
10003270_9	10003270	9	47.7	43.1	9.2	0.0	3.39
10003324_1	10003324	1	90.0	10.0	0.0	0.0	3.90
10003324_5	10003324	5	80.0	20.0	0.0	0.0	3.80
10003614_17	10003614	17	0.0	0.0	70.0	30.0	1.70
10003614_23	10003614	23	0.0	0.0	0.0	100.0	1.00
10003614_25	10003614	25	0.0	40.0	60.0	0.0	2.40
10003614_30	10003614	30	0.0	60.0	30.0	10.0	2.50
10003614_33	10003614	33	20.0	70.0	10.0	0.0	3.10
10003614_35	10003614	35	0.0	80.0	20.0	0.0	2.80
10003614_36	10003614	36	0.0	80.0	20.0	0.0	2.80
10003614_4	10003614	4	0.0	20.0	0.0	80.0	1.40
10003645_1	10003645	1	70.7	29.3	0.0	0.0	3.71
10003645_10	10003645	10	0.0	26.0	50.0	24.0	2.02
10003645_11	10003645	11	40.0	53.3	6.7	0.0	3.33
10003645_15	10003645	15	80.0	20.0	0.0	0.0	3.80
10003645_17	10003645	17	40.0	40.0	20.0	0.0	3.20
10003645_19	10003645	19	50.0	42.0	8.0	0.0	3.42
10003645_2	10003645	2	80.0	20.0	0.0	0.0	3.80
10003645_20	10003645	20	80.0	20.0	0.0	0.0	3.80
10003645_21	10003645	21	63.6	25.5	10.9	0.0	3.53
10003645_23	10003645	23	33.3	66.7	0.0	0.0	3.33
10003645_25	10003645	25	92.0	8.0	0.0	0.0	3.92
10003645_26	10003645	26	50.0	50.0	0.0	0.0	3.50
10003645_28	10003645	28	24.0	76.0	0.0	0.0	3.24
10003645_29	10003645	29	52.0	48.0	0.0	0.0	3.52
10003645_3	10003645	3	64.0	33.8	2.2	0.0	3.62
10003645_30	10003645	30	68.0	32.0	0.0	0.0	3.68
10003645_31	10003645	31	40.0	60.0	0.0	0.0	3.40
10003645_32	10003645	32	63.3	23.4	13.3	0.0	3.50
10003645_33	10003645	33	50.0	50.0	0.0	0.0	3.50
10003645_35	10003645	35	41.7	58.4	0.0	0.0	3.42
10003645_36	10003645	36	90.0	10.0	0.0	0.0	3.90
10003645_4	10003645	4	77.6	22.4	0.0	0.0	3.78
10003645_5	10003645	5	15.0	70.0	15.0	0.0	3.00
10003645_9	10003645	9	10.0	60.0	30.0	0.0	2.80
10003678_11	10003678	11	20.0	40.0	40.0	0.0	2.80
10003678_15	10003678	15	0.0	30.0	50.0	20.0	2.10
10003678_17	10003678	17	0.0	40.0	60.0	0.0	2.40
10003678_19	10003678	19	23.3	63.4	13.3	0.0	3.10
10003678_29	10003678	29	100.0	0.0	0.0	0.0	4.00
10003678_3	10003678	3	0.0	76.7	23.3	0.0	2.77
10003678_32	10003678	32	30.0	30.0	40.0	0.0	2.90
10003678_34	10003678	34	10.0	36.7	53.3	0.0	2.57
10003678_4	10003678	4	0.0	40.0	60.0	0.0	2.40
10003861_11	10003861	11	0.0	20.0	80.0	0.0	2.20
10003861_16	10003861	16	26.7	10.0	36.6	26.7	2.37
10003861_19	10003861	19	0.0	60.0	40.0	0.0	2.60
10003861_2	10003861	2	0.0	50.0	50.0	0.0	2.50
10003861_22	10003861	22	0.0	20.0	40.0	40.0	1.80
10003861_25	10003861	25	0.0	70.0	30.0	0.0	2.70
10003861_26	10003861	26	36.7	23.3	40.0	0.0	2.97
10003861_34	10003861	34	0.0	0.0	0.0	100.0	1.00
10003861_35	10003861	35	0.0	0.0	40.0	20.0	1.00
10003861_36	10003861	36	20.0	0.0	60.0	20.0	2.20
10003861_4	10003861	4	0.0	100.0	0.0	0.0	3.00
10003863_26	10003863	26	0.0	0.0	0.0	0.0	0.00
10003863_29	10003863	29	0.0	0.0	70.0	30.0	1.70
10003863_30	10003863	30	0.0	40.0	60.0	0.0	2.40
10003863_33	10003863	33	0.0	40.0	20.0	40.0	2.00
10003863_36	10003863	36	0.0	0.0	0.0	10.0	0.10
10003956_11	10003956	11	0.0	0.0	50.0	50.0	1.50
10003956_17	10003956	17	0.0	0.0	0.0	80.0	0.80
10003956_21	10003956	21	0.0	0.0	70.0	30.0	1.70
10003956_22	10003956	22	0.0	0.0	10.0	90.0	1.10
10003956_25	10003956	25	40.0	0.0	30.0	30.0	2.50
10003956_26	10003956	26	0.0	0.0	30.0	70.0	1.30
10003956_29	10003956	29	0.0	0.0	40.0	60.0	1.40
10003956_30	10003956	30	0.0	50.0	50.0	0.0	2.50
10003956_33	10003956	33	0.0	70.0	30.0	0.0	2.70
10003956_35	10003956	35	5.0	50.0	35.0	10.0	2.50
10003956_4	10003956	4	0.0	0.0	100.0	0.0	2.00
10003957_11	10003957	11	0.0	80.0	10.0	10.0	2.70
10003957_12	10003957	12	0.0	30.0	70.0	0.0	2.30
10003957_13	10003957	13	0.0	30.0	70.0	0.0	2.30
10003957_15	10003957	15	0.0	30.0	30.0	40.0	1.90
10003957_16	10003957	16	0.0	73.3	26.7	0.0	2.73
10003957_20	10003957	20	0.0	100.0	0.0	0.0	3.00
10003957_22	10003957	22	20.0	80.0	0.0	0.0	3.20
