CaseStudyID	UKPRN
27	10007789
28	10007789
29	10007789
30	10007789
56	10007807
57	10007807
58	10007807
60	10007807
61	10007807
63	10007146
64	10007146
85	10007150
100	10004797
106	10007807
107	10007807
108	10007807
382	10007807
383	10007807
384	10007807
522	10007150
543	10007150
544	10007150
545	10007150
546	10007807
547	10007807
548	10007807
549	10007150
553	10007150
560	10007150
575	10007807
576	10007807
577	10007807
580	10007150
581	10007166
582	10007166
583	10007166
590	10007807
597	10007150
598	10007150
599	10007150
740	10007150
741	10007150
742	10007150
746	10007150
747	10007150
911	10007150
912	10007150
913	10007150
916	10007150
917	10007150
930	10007150
931	10007150
932	10007150
933	10007150
936	10007150
937	10007150
938	10007150
940	10007150
941	10007146
941	10007150
942	10007146
942	10007150
944	10007150
945	10007150
947	10007150
949	10007150
950	10007150
951	10007150
952	10007150
958	10007150
959	10007150
960	10007150
961	10007150
963	10007150
964	10007150
973	10007150
974	10007150
975	10007150
976	10007150
977	10007150
978	10007150
979	10007150
981	10007150
983	10007150
984	10007150
985	10007150
986	10007150
989	10007150
990	10007150
996	10007807
998	10007807
999	10007807
1000	10007807
1001	10007807
1002	10007807
1003	10007807
1004	10007807
1014	10007807
1015	10007807
1016	10007807
1018	10007807
1019	10007807
1020	10007807
1021	10007807
1022	10007807
1024	10007807
1025	10007807
1026	10007807
1027	10007807
1028	10007807
1029	10007807
1110	10007139
1112	10007789
1283	10007140
1393	10007166
1409	10007789
1410	10007789
1417	10007789
1418	10007789
1419	10007789
1420	10007789
1421	10007789
1422	10007789
1423	10007789
1424	10007789
1425	10007789
1426	10007789
1430	10007789
1432	10007789
1433	10007789
1434	10007789
1435	10007789
1436	10007789
1438	10007789
1439	10007789
1440	10007789
1441	10007789
1442	10007789
1443	10007789
1444	10007789
1445	10007789
1446	10007789
1447	10007789
1448	10007789
1449	10007789
1450	10007789
1451	10007789
1452	10007789
1488	10007833
1667	10007789
1668	10007789
1669	10007789
1670	10007789
1671	10007789
1672	10007789
1686	10005337
1697	10005337
1698	10005337
1707	10000385
1716	10007166
1718	10007789
1719	10007789
1720	10007789
1722	10007789
1724	10007789
1726	10004351
1728	10007807
1729	10007807
1732	10004351
1733	10004351
1734	10004351
1735	10007141
1761	10007141
1762	10007141
1810	10007807
1811	10007789
1822	10007807
1855	10007789
1856	10007789
1857	10007789
1858	10007789
1882	10007161
1883	10007140
1884	10004351
1885	10004351
1886	10004351
1887	10004351
1888	10004351
1890	10000385
1892	10004351
1893	10004351
1916	10007807
1918	10004351
1919	10004351
1920	10007807
1921	10007807
1922	10007807
1926	10007807
1929	10007814
1930	10007807
1931	10007807
1945	10007807
1950	10007825
1955	10007150
1956	10007150
1957	10007807
1973	10000291
1975	10007807
1976	10007807
1977	10007807
1978	10007163
1979	10007163
1980	10007163
1981	10007163
1984	10007163
1985	10007163
1986	10007163
1987	10007163
1988	10007163
1989	10007807
1990	10007807
1991	10007807
1992	10007163
2009	10007150
2010	10007150
2011	10007807
2226	10007807
2227	10007807
2325	10007163
2326	10007163
2327	10007163
2329	10007163
2358	10007163
2372	10007163
2373	10007163
2374	10007163
2375	10007163
2376	10007163
2377	10007163
2378	10007163
2394	10000961
2398	10000961
2399	10000291
2406	10007163
2411	10007163
2412	10007163
2413	10007163
2414	10007163
2415	10007163
2418	10007163
2419	10007163
2420	10007163
2421	10007163
2433	10007163
2434	10007163
2435	10007163
2454	10007163
2455	10007163
2456	10007163
2458	10007163
2460	10007150
2465	10007150
2531	10004351
2544	10004351
2545	10004351
2547	10007150
2578	10007163
2579	10007163
2580	10007163
2581	10007163
2582	10007163
2613	10007163
2703	10007163
2708	10007814
2728	10007814
2729	10007163
2734	10007146
2766	10007141
2768	10007141
2770	10007141
2771	10007141
2772	10007141
2773	10007141
2776	10007141
2782	10007141
2784	10007141
2786	10007141
2787	10007141
2788	10007141
2789	10007141
2790	10007141
2791	10007141
2793	10007141
2794	10007141
2796	10007141
2797	10007141
2799	10007141
2800	10007141
2807	10007141
2808	10007141
2809	10007141
2810	10007141
2811	10007141
2813	10007141
2814	10007141
2815	10007141
2816	10007141
2817	10007141
2818	10007141
2819	10007141
2820	10007141
2933	10007814
2999	10007814
3000	10007814
3001	10007814
3067	10003958
3067	10007163
3139	10003958
3139	10007163
3140	10007814
3141	10007814
3143	10007814
3144	10007814
3145	10007814
3147	10003958
3147	10007163
3148	10003958
3148	10007163
3258	10004351
3259	10004351
3260	10007807
3264	10007146
3273	10004351
3345	10004351
3349	10007155
3350	10007155
3351	10007157
3352	10007157
3353	10007157
3354	10007157
3355	10007157
3356	10007157
3357	10007157
3358	10007157
3387	10007814
3388	10007146
3389	10007814
3390	10007814
3392	10007814
3394	10007146
3397	10007789
3398	10007789
3399	10007789
3400	10007789
3401	10007789
3402	10007789
3403	10007789
3404	10007814
3405	10007814
3407	10007814
3408	10007814
3409	10007814
3410	10007814
3414	10007814
3415	10007814
3416	10007814
3417	10007814
3418	10007814
3419	10007814
3423	10007814
3451	10007814
3452	10007814
3453	10007814
3454	10007814
3461	10007814
3462	10007814
3464	10007814
3465	10007814
3466	10007814
3467	10007814
3468	10007814
3469	10007814
3470	10007814
3471	10007814
3472	10007814
3473	10007814
3474	10007814
3475	10007814
3476	10007814
3477	10007814
3478	10007814
3479	10007814
3480	10007814
3481	10007814
3482	10007814
3483	10007814
3484	10007814
3485	10007814
3486	10007814
3487	10007814
3488	10007814
3514	10007814
3515	10007814
3516	10007814
3517	10007814
3518	10007814
3519	10007814
3520	10007814
3521	10007814
3550	10007814
3551	10007814
3553	10007814
3580	10007814
3581	10007814
3582	10007814
3585	10007814
3653	10007814
3656	10007814
3658	10007814
3659	10007814
3660	10007814
3663	10007814
3664	10007814
3665	10007814
3666	10007814
3667	10007814
3668	10007814
3669	10007814
3670	10007814
3672	10007163
3673	10007801
3674	10007801
3680	10007774
3681	10007774
3682	10007774
3683	10007774
3684	10004351
3685	10007774
3687	10007774
3688	10007774
3689	10007774
3690	10007774
3691	10007774
3692	10007774
3693	10007774
3695	10007774
3697	10007774
3698	10007774
3699	10007774
3701	10007774
3702	10007774
3703	10007774
3704	10007774
3705	10007774
3706	10007774
3707	10007774
3708	10007774
3709	10007774
3710	10007774
3711	10007774
3712	10006842
3714	10007774
